"PK","SK","close","created_at","high","low","open","pair","timeframe_minutes","timestamp","volume","vwap"
"PAIR#XXBTZUSD","TF#1m#TS#1778391120","80772","1778434345","80772.1","80772","80772.1","XXBTZUSD","1","1778391120","0.01721208","80772"
"PAIR#XXBTZUSD","TF#1m#TS#1778391180","80772","1778434405","80772.1","80772","80772.1","XXBTZUSD","1","1778391180","0.02484225","80772"
"PAIR#XXBTZUSD","TF#1m#TS#1778391240","80754","1778434465","80754","80753.9","80753.9","XXBTZUSD","1","1778391240","0.00093347","80753.9"
"PAIR#XXBTZUSD","TF#1m#TS#1778391300","80754","1778434525","80754","80753.9","80753.9","XXBTZUSD","1","1778391300","0.00231363","80753.9"
"PAIR#XXBTZUSD","TF#1m#TS#1778391360","80753.9","1778434585","80754","80753.9","80753.9","XXBTZUSD","1","1778391360","0.07599764","80753.9"
"PAIR#XXBTZUSD","TF#1m#TS#1778391420","80754","1778434645","80754","80753.9","80754","XXBTZUSD","1","1778391420","0.00707243","80753.9"
"PAIR#XXBTZUSD","TF#1m#TS#1778391480","80754","1778434705","80754","80753.9","80753.9","XXBTZUSD","1","1778391480","0.12343846","80753.9"
"PAIR#XXBTZUSD","TF#1m#TS#1778391540","80754","1778434765","80754","80753.9","80754","XXBTZUSD","1","1778391540","0.02266015","80753.9"
"PAIR#XXBTZUSD","TF#1m#TS#1778391600","80754","1778434825","80754","80754","80754","XXBTZUSD","1","1778391600","0.24532387","80754"
"PAIR#XXBTZUSD","TF#1m#TS#1778391660","80750.9","1778434885","80754","80750.8","80754","XXBTZUSD","1","1778391660","0.08088136","80751.7"
"PAIR#XXBTZUSD","TF#1m#TS#1778391720","80750.9","1778434945","80750.9","80750.8","80750.8","XXBTZUSD","1","1778391720","0.00196207","80750.8"
"PAIR#XXBTZUSD","TF#1m#TS#1778391780","80734.3","1778435005","80750.9","80734.3","80750.9","XXBTZUSD","1","1778391780","0.31940853","80750.6"
"PAIR#XXBTZUSD","TF#1m#TS#1778391840","80734.3","1778435065","80734.4","80734.3","80734.4","XXBTZUSD","1","1778391840","0.06825793","80734.3"
"PAIR#XXBTZUSD","TF#1m#TS#1778391900","80734.4","1778435125","80734.4","80734.3","80734.3","XXBTZUSD","1","1778391900","0.00764809","80734.3"
"PAIR#XXBTZUSD","TF#1m#TS#1778391960","80734.4","1778435185","80734.4","80734.3","80734.4","XXBTZUSD","1","1778391960","0.11602764","80734.3"
"PAIR#XXBTZUSD","TF#1m#TS#1778392020","80731.5","1778435245","80734.3","80727.8","80734.3","XXBTZUSD","1","1778392020","0.09599537","80731.4"
"PAIR#XXBTZUSD","TF#1m#TS#1778392080","80731.5","1778435305","80731.5","80725.5","80731.5","XXBTZUSD","1","1778392080","0.38009833","80726.9"
"PAIR#XXBTZUSD","TF#1m#TS#1778392140","80723.1","1778435365","80731.5","80723.1","80731.5","XXBTZUSD","1","1778392140","0.00769341","80725.2"
"PAIR#XXBTZUSD","TF#1m#TS#1778392200","80688.7","1778435425","80723.1","80688.7","80723","XXBTZUSD","1","1778392200","0.09028362","80694.7"
"PAIR#XXBTZUSD","TF#1m#TS#1778392260","80689.6","1778435485","80689.6","80689.5","80689.6","XXBTZUSD","1","1778392260","0.03284385","80689.5"
"PAIR#XXBTZUSD","TF#1m#TS#1778392320","80689.6","1778435545","80689.6","80689.5","80689.5","XXBTZUSD","1","1778392320","0.12530244","80689.5"
"PAIR#XXBTZUSD","TF#1m#TS#1778392380","80681.8","1778435605","80689.6","80681.5","80689.5","XXBTZUSD","1","1778392380","0.01459003","80685.5"
"PAIR#XXBTZUSD","TF#1m#TS#1778392440","80670","1778435665","80681.9","80669.8","80681.9","XXBTZUSD","1","1778392440","0.18233212","80678.2"
"PAIR#XXBTZUSD","TF#1m#TS#1778392500","80670","1778435725","80670","80670","80670","XXBTZUSD","1","1778392500","0.0030069","80670"
"PAIR#XXBTZUSD","TF#1m#TS#1778392560","80670","1778435785","80670","80669.9","80669.9","XXBTZUSD","1","1778392560","0.02802533","80669.9"
